"well","cell.count"
"A06.fcs",11
"A07.fcs",88
"A08.fcs",155
"A09.fcs",1481
"A10.fcs",41
"A11.fcs",33
"A12.fcs",55
"B07.fcs",347
"B08.fcs",291
"B09.fcs",43
"B10.fcs",97
"B11.fcs",287
"B12.fcs",1093
"C07.fcs",26
"C08.fcs",82
"C09.fcs",159
"C10.fcs",418
"C11.fcs",88
"C12.fcs",293
"D07.fcs",107
"D08.fcs",59
"D09.fcs",138
"D10.fcs",125
"D11.fcs",90
"D12.fcs",36
"E07.fcs",259
"E08.fcs",70
"E09.fcs",874
"E10.fcs",56
"E11.fcs",404
"E12.fcs",87
"F07.fcs",1154
"F08.fcs",146
"F09.fcs",31
"F10.fcs",79
"F11.fcs",46
"F12.fcs",720
"G07.fcs",134
"G08.fcs",58
"G09.fcs",25
"G10.fcs",183
"G11.fcs",2681
"G12.fcs",79
"H07.fcs",307
"H08.fcs",1149
"H09.fcs",355
"H10.fcs",1845
"H11.fcs",648
"H12.fcs",74
